# packages in environment at /home/yanhu/utils/miniforge3/envs/print:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                  2_kmp_llvm    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
absl-py                   2.1.0              pyhd8ed1ab_0    conda-forge
adjusttext                1.1.1                    pypi_0    pypi
aiohttp                   3.9.3           py311h459d7ec_0    conda-forge
aiosignal                 1.3.1              pyhd8ed1ab_0    conda-forge
anndata                   0.10.6                   pypi_0    pypi
anyio                     4.3.0              pyhd8ed1ab_0    conda-forge
appdirs                   1.4.4              pyh9f0ad1d_0    conda-forge
argcomplete               3.2.3                    pypi_0    pypi
argh                      0.31.2                   pypi_0    pypi
argon2-cffi               23.1.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      21.2.0          py311h459d7ec_4    conda-forge
array-api-compat          1.4.1                    pypi_0    pypi
arrow                     1.3.0              pyhd8ed1ab_0    conda-forge
asttokens                 2.4.1              pyhd8ed1ab_0    conda-forge
astunparse                1.6.3              pyhd8ed1ab_0    conda-forge
async-lru                 2.0.4              pyhd8ed1ab_0    conda-forge
attrs                     23.2.0             pyh71513ae_0    conda-forge
aws-c-auth                0.7.11               h0b4cabd_1    conda-forge
aws-c-cal                 0.6.9                h14ec70c_3    conda-forge
aws-c-common              0.9.12               hd590300_0    conda-forge
aws-c-compression         0.2.17               h572eabf_8    conda-forge
aws-c-event-stream        0.4.1                h97bb272_2    conda-forge
aws-c-http                0.8.0                h9129f04_2    conda-forge
aws-c-io                  0.14.0               hf8f278a_1    conda-forge
aws-c-mqtt                0.10.1               h2b97f5f_0    conda-forge
aws-c-s3                  0.4.9                hca09fc5_0    conda-forge
aws-c-sdkutils            0.1.13               h572eabf_1    conda-forge
aws-checksums             0.1.17               h572eabf_7    conda-forge
aws-crt-cpp               0.26.0               h04327c0_8    conda-forge
aws-sdk-cpp               1.11.210            hba3e011_10    conda-forge
babel                     2.14.0             pyhd8ed1ab_0    conda-forge
batchglm                  0.7.4                    pypi_0    pypi
beautifulsoup4            4.12.3             pyha770c72_0    conda-forge
binutils_impl_linux-64    2.40                 hf600244_0    conda-forge
binutils_linux-64         2.40                 hdade7a5_3    conda-forge
bioconductor-annotate     1.80.0            r43hdfd78af_0    bioconda
bioconductor-annotationdbi 1.64.1            r43hdfd78af_0    bioconda
bioconductor-annotationfilter 1.26.0            r43hdfd78af_0    bioconda
bioconductor-annotationhub 3.10.0            r43hdfd78af_0    bioconda
bioconductor-apeglm       1.24.0            r43hf17093f_0    bioconda
bioconductor-beachmat     2.18.0            r43hf17093f_0    bioconda
bioconductor-biobase      2.62.0            r43ha9d7317_1    bioconda
bioconductor-biocfilecache 2.10.1            r43hdfd78af_0    bioconda
bioconductor-biocgenerics 0.48.1            r43hdfd78af_2    bioconda
bioconductor-biocio       1.12.0            r43hdfd78af_0    bioconda
bioconductor-biocneighbors 1.20.0            r43hf17093f_0    bioconda
bioconductor-biocparallel 1.36.0            r43hf17093f_1    bioconda
bioconductor-biocsingular 1.18.0            r43hf17093f_0    bioconda
bioconductor-biocversion  3.18.1            r43hdfd78af_0    bioconda
bioconductor-biomart      2.58.0            r43hdfd78af_0    bioconda
bioconductor-biostrings   2.70.1            r43ha9d7317_1    bioconda
bioconductor-biovizbase   1.50.0            r43ha9d7317_1    bioconda
bioconductor-bsgenome     1.70.1            r43hdfd78af_0    bioconda
bioconductor-celldex      1.12.0            r43hdfd78af_0    bioconda
bioconductor-chromvar     1.24.0            r43hf17093f_0    bioconda
bioconductor-cner         1.38.0            r43ha9d7317_0    bioconda
bioconductor-data-packages 20231203             hdfd78af_0    bioconda
bioconductor-delayedarray 0.28.0            r43ha9d7317_1    bioconda
bioconductor-delayedmatrixstats 1.24.0            r43hdfd78af_0    bioconda
bioconductor-deseq2       1.42.0            r43hf17093f_1    bioconda
bioconductor-dirichletmultinomial 1.44.0            r43hee7dd41_0    bioconda
bioconductor-ensembldb    2.26.0            r43hdfd78af_0    bioconda
bioconductor-experimenthub 2.10.0            r43hdfd78af_0    bioconda
bioconductor-genomeinfodb 1.38.1            r43hdfd78af_1    bioconda
bioconductor-genomeinfodbdata 1.2.11            r43hdfd78af_1    bioconda
bioconductor-genomicalignments 1.38.0            r43ha9d7317_0    bioconda
bioconductor-genomicfeatures 1.54.1            r43hdfd78af_0    bioconda
bioconductor-genomicranges 1.54.1            r43ha9d7317_1    bioconda
bioconductor-go.db        3.18.0            r43hdfd78af_0    bioconda
bioconductor-gviz         1.46.1            r43hdfd78af_0    bioconda
bioconductor-interactivedisplaybase 1.40.0            r43hdfd78af_0    bioconda
bioconductor-iranges      2.36.0            r43ha9d7317_1    bioconda
bioconductor-keggrest     1.42.0            r43hdfd78af_0    bioconda
bioconductor-matrixgenerics 1.14.0            r43hdfd78af_1    bioconda
bioconductor-motifmatchr  1.24.0            r43hf17093f_0    bioconda
bioconductor-protgenerics 1.34.0            r43hdfd78af_0    bioconda
bioconductor-rhtslib      2.4.0             r43ha9d7317_1    bioconda
bioconductor-rsamtools    2.18.0            r43hf17093f_1    bioconda
bioconductor-rtracklayer  1.62.0            r43ha9d7317_0    bioconda
bioconductor-s4arrays     1.2.0             r43ha9d7317_1    bioconda
bioconductor-s4vectors    0.40.2            r43ha9d7317_1    bioconda
bioconductor-scaledmatrix 1.10.0            r43hdfd78af_0    bioconda
bioconductor-seqlogo      1.68.0            r43hdfd78af_0    bioconda
bioconductor-singler      2.4.0             r43hf17093f_0    bioconda
bioconductor-sparsearray  1.2.2             r43ha9d7317_1    bioconda
bioconductor-sparsematrixstats 1.14.0            r43hf17093f_0    bioconda
bioconductor-summarizedexperiment 1.32.0            r43hdfd78af_0    bioconda
bioconductor-tfbstools    1.40.0            r43ha9d7317_0    bioconda
bioconductor-tximport     1.30.0            r43hdfd78af_1    bioconda
bioconductor-variantannotation 1.48.1            r43ha9d7317_1    bioconda
bioconductor-xvector      0.42.0            r43ha9d7317_1    bioconda
bioconductor-zlibbioc     1.48.0            r43ha9d7317_1    bioconda
bioframe                  0.6.3                    pypi_0    pypi
biopython                 1.83                     pypi_0    pypi
blas                      2.116                       mkl    conda-forge
blas-devel                3.9.0            16_linux64_mkl    conda-forge
bleach                    6.1.0              pyhd8ed1ab_0    conda-forge
blinker                   1.7.0              pyhd8ed1ab_0    conda-forge
bowtie2                   2.5.4                he20e202_0    bioconda
brotli                    1.1.0                hd590300_1    conda-forge
